poi_name,address,lnglat,line_distance_m,real_walk_m,walk_minutes,amap_poi_id,typecode,business_hour_api,avg_cost_api,tag_list_api,poi_tel,amap_detail_url,,,,main_category,secondary_categories
利口福(保利九里店),中山七路与土兴巷交叉口西北40米,"113.244275,23.125975",120,235,3,B0MUON3J0W,050800|050100,unknown,unknown,[],[],https://amap.com/poi/B0MUON3J0W,,,,shopping_or_craft,"[""cantonese_gift"",""craft_souvenir""]"
G·M cafe(陈家祠店),陈家祠道48号2栋117房间,"113.244043,23.127147",124,120,2,B0IG0S6MGL,50500,unknown,unknown,[],18144860208,https://amap.com/poi/B0IG0S6MGL,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
秘境鹿屿CAKE生日蛋糕·冰淇淋·动物奶油(荔湾店),中山七路与土兴巷交叉口西北40米,"113.244275,23.125875",128,229,3,B0MDNXGN61,50900,unknown,unknown,['生日蛋糕'],[],https://amap.com/poi/B0MDNXGN61,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
焗外人·盐焗零食(陈家祠地铁站店),恩龙里与中山七路交叉口西北80米(陈家祠地铁站E口旁),"113.246428,23.126308",136,307,4,B0L0RG4288,50000,unknown,unknown,[],[],https://amap.com/poi/B0L0RG4288,,,,food,"[""cantonese_food"",""local_snack""]"
寿司正传(扬韬广场店),广州市扬韬广场2号楼101铺,"113.244579,23.125470",148,242,3,B0KK3AHOSY,50202,unknown,unknown,['寿司'],13002031872,https://amap.com/poi/B0KK3AHOSY,,,,food,"[""cantonese_food"",""local_snack""]"
广九餐室(陈家祠店),扬韬广场1号楼东门旁(陈家祠地铁站A口步行50米),"113.245430,23.125381",148,435,6,B0K0Y7LW9M,50000,unknown,unknown,"['汉堡,塔黑胡椒啫竹肠,金莎流心菠萝包,啫啫煲']",18028691763,https://amap.com/poi/B0K0Y7LW9M,,,,food,"[""cantonese_food"",""local_snack""]"
luckin coffee 瑞幸咖啡(地铁陈家祠站内店),一号线路陈家祠站街CJC-8-1-2G号,"113.246425,23.126025",149,333,4,B0L33S9EK4,50500,unknown,unknown,"['三明治,coffee']",4000100100,https://amap.com/poi/B0L33S9EK4,,,,cafe_or_rest,"[""leisure_drink"",""dessert""]"
明本湛江鸡·海鲜小厨(陈家祠店),中山七路333号1号楼2层205-1铺,"113.245375,23.125325",153,429,6,B0KDXAXDU2,50100,unknown,unknown,"['大排档,奶油,宵夜,排骨,鸡肉,啫啫煲,海鲜大排档']",13500000223;18002243768,https://amap.com/poi/B0KDXAXDU2,,,,food,"[""cantonese_food"",""local_snack""]"
清平饭店·广州第一鸡,中山七路扬韬科技广场1号楼2层(陈家祠地铁站A出口),"113.245021,23.125304",155,333,4,B0JKN7JQGS,50100,unknown,unknown,"['台山鲜鳝片干煏竹肠皇,清平BB仔鸡,茅台啫黄鳝,古法酱焖鲜崩沙牛腩,清平海胆樱花虾炒饭,清平鸡仔咸水角,南洋特色酱炒蟹,广州第一鸡·清平鸡,不平凡黑叉烧,清平吊烧芝麻鸡,啫啫煲,茅根马蹄竹蔗水,不平凡叉烧,凉拌鱼皮,鸡肉,茅台酒香啫黄鳝,黑松露烧鹅,糖水,杨枝甘露']",18102684239,https://amap.com/poi/B0JKN7JQGS,,,,food,"[""cantonese_food"",""local_snack""]"
金凤皇水晶鸡,土兴巷与中山七路交叉口东南20米,"113.244625,23.125375",156,261,3,B0M6TR68V0,50100,unknown,unknown,['水晶鸡'],[],https://amap.com/poi/B0M6TR68V0,,,,food,"[""cantonese_food"",""local_snack""]"
